doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1126/science.aao4593,Rapid hybrid speciation in Darwin's finches.,Lamichhaney S; Han F; Webster MT; Andersson L; Grant BR; Grant PR,2018 Jan 12,Science,,29170277,https://pubmed.ncbi.nlm.nih.gov/29170277/,,,,
10.1086/675496,Synergism of natural selection and introgression in the origin of a new species.,Grant PR; Grant BR,2014 May,Am Nat,,24739199,https://pubmed.ncbi.nlm.nih.gov/24739199/,,,,
10.1038/nature14181,Evolution of Darwin's finches and their beaks revealed by genome sequencing.,Lamichhaney S; Berglund J; Almén MS; Maqbool K; Grabherr M; Martinez-Barrio A; Promerová M; Rubin CJ; Wang C; Zamani N; Grant BR; Grant PR; Webster MT; Andersson L,2015 Feb 19,Nature,,25686609,https://pubmed.ncbi.nlm.nih.gov/25686609/,,,,
10.1126/science.adf6218,Community-wide genome sequencing reveals 30 years of Darwin's finch evolution.,Enbody ED; Sendell-Price AT; Sprehn CG; Rubin CJ; Visscher PM; Grant BR; Grant PR; Andersson L,2023 Sep 29,Science,,37769091,https://pubmed.ncbi.nlm.nih.gov/37769091/,,,,
10.1073/pnas.0911761106,The secondary contact phase of allopatric speciation in Darwin's finches.,Grant PR; Grant BR,2009 Dec 1,Proc Natl Acad Sci U S A,,19918081,https://pubmed.ncbi.nlm.nih.gov/19918081/,PMC2787178,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2787178/,,
10.1126/science.aad8786,A beak size locus in Darwin's finches facilitated character displacement during a drought.,Lamichhaney S; Han F; Berglund J; Wang C; Almén MS; Webster MT; Grant BR; Grant PR; Andersson L,2016 Apr 22,Science,,27102486,https://pubmed.ncbi.nlm.nih.gov/27102486/,,,,
10.1098/rstb.2008.0051,Fission and fusion of Darwin's finches populations.,Grant BR; Grant PR,2008 Sep 12,Philos Trans R Soc Lond B Biol Sci,,18508750,https://pubmed.ncbi.nlm.nih.gov/18508750/,PMC2606742,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2606742/,,
10.1111/j.1365-294X.2005.02632.x,Comparative landscape genetics and the adaptive radiation of Darwin's finches: the role of peripheral isolation.,Petren K; Grant PR; Grant BR; Keller LF,2005 Sep,Mol Ecol,,16101765,https://pubmed.ncbi.nlm.nih.gov/16101765/,,,,
10.1073/pnas.1913534116,Hybridization increases population variation during adaptive radiation.,Grant PR; Grant BR,2019 Nov 12,Proc Natl Acad Sci U S A,,31659024,https://pubmed.ncbi.nlm.nih.gov/31659024/,PMC6859339,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6859339/,,
10.1098/rstb.2009.0314,Divergence with gene flow as facilitated by ecological differences: within-island variation in Darwin's finches.,de León LF; Bermingham E; Podos J; Hendry AP,2010 Apr 12,Philos Trans R Soc Lond B Biol Sci,,20194167,https://pubmed.ncbi.nlm.nih.gov/20194167/,PMC2830238,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2830238/,,
