doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1098/rstb.2016.0146,Evolution caused by extreme events.,Peter R Grant; B Rosemary Grant; Raymond B Huey; Marc T J Johnson; Andrew H Knoll; Johanna Schmitt,2017-06-19,"Philosophical transactions of the Royal Society of London. Series B, Biological sciences","Extreme events can be a major driver of evolutionary change over geological and contemporary timescales. Outstanding examples are evolutionary diversification following mass extinctions caused by extreme volcanism or asteroid impact. The evolution of organisms in contemporary time is typically viewed as a gradual and incremental process that results from genetic change, environmental perturbation or both. However, contemporary environments occasionally experience strong perturbations such as heat waves, floods, hurricanes, droughts and pest outbreaks. These extreme events set up strong selection pressures on organisms, and are small-scale analogues of the dramatic changes documented in the fossil record. Because extreme events are rare, almost by definition, they are difficult to study. So far most attention has been given to their ecological rather than to their evolutionary consequences. We review several case studies of contemporary evolution in response to two types of extreme environmental perturbations, episodic (pulse) or prolonged (press). Evolution is most likely to occur when extreme events alter community composition. We encourage investigators to be prepared for evolutionary change in response to rare events during long-term field studies.This article is part of the themed issue 'Behavioural, ecological and evolutionary responses to extreme climatic events'.",28483875,https://pubmed.ncbi.nlm.nih.gov/28483875/,PMC5434096,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5434096/,,7fca1c290c6f1223a5007a31a0f5429c8eee5dd8
10.1111/1755-0998.12665,"Pedigree reconstruction from SNP data: parentage assignment, sibship clustering and beyond.",Jisca Huisman,2017-09-01,Molecular ecology resources,"Data on hundreds or thousands of single nucleotide polymorphisms (SNPs) provide detailed information about the relationships between individuals, but currently few tools can turn this information into a multigenerational pedigree. I present the r package sequoia, which assigns parents, clusters half-siblings sharing an unsampled parent and assigns grandparents to half-sibships. Assignments are made after consideration of the likelihoods of all possible first-, second- and third-degree relationships between the focal individuals, as well as the traditional alternative of being unrelated. This careful exploration of the local likelihood surface is implemented in a fast, heuristic hill-climbing algorithm. Distinction between the various categories of second-degree relatives is possible when likelihoods are calculated conditional on at least one parent of each focal individual. Performance was tested on simulated data sets with realistic genotyping error rate and missingness, based on three different large pedigrees (N = 1000-2000). This included a complex pedigree with overlapping generations, occasional close inbreeding and some unknown birth years. Parentage assignment was highly accurate down to about 100 independent SNPs (error rate <0.1%) and fast (<1 min) as most pairs can be excluded from being parent-offspring based on opposite homozygosity. For full pedigree reconstruction, 40% of parents were assumed nongenotyped. Reconstruction resulted in low error rates (<0.3%), high assignment rates (>99%) in limited computation time (typically <1 h) when at least 200 independent SNPs were used. In three empirical data sets, relatedness estimated from the inferred pedigree was strongly correlated to genomic relatedness.",28271620,https://pubmed.ncbi.nlm.nih.gov/28271620/,PMC6849609,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6849609/,,fc0db40d47bb20dd26495f5d3b581c50325d7e55
10.1111/mec.13685,Genomics of hybridization and its evolutionary consequences.,Richard J Abbott; Nicholas H Barton; Jeffrey M Good,2016-06-01,Molecular ecology,,27145128,https://pubmed.ncbi.nlm.nih.gov/27145128/,,,,af74783c16b225d7082dba4e1f5c971b09549954
10.1126/science.aad8786,A beak size locus in Darwin's finches facilitated character displacement during a drought.,Sangeet Lamichhaney; Fan Han; Jonas Berglund; Chao Wang; Markus Sällman Almén; Matthew T Webster; B Rosemary Grant; Peter R Grant; Leif Andersson,2016-04-22,Science,"Ecological character displacement is a process of morphological divergence that reduces competition for limited resources. We used genomic analysis to investigate the genetic basis of a documented character displacement event in Darwin's finches on Daphne Major in the Galápagos Islands: The medium ground finch diverged from its competitor, the large ground finch, during a severe drought. We discovered a genomic region containing the HMGA2 gene that varies systematically among Darwin's finch species with different beak sizes. Two haplotypes that diverged early in the radiation were involved in the character displacement event: Genotypes associated with large beak size were at a strong selective disadvantage in medium ground finches (selection coefficient s = 0.59). Thus, a major locus has apparently facilitated a rapid ecological diversification in the adaptive radiation of Darwin's finches.",27102486,https://pubmed.ncbi.nlm.nih.gov/27102486/,,,,d7c20041cdee4f1250acdc51a47242276aea5cb6
10.1073/pnas.1505357112,Complex constraints on allometry revealed by artificial selection on the wing of Drosophila melanogaster.,Geir H Bolstad; Jason A Cassara; Eladio Márquez; Thomas F Hansen; Kim van der Linde; David Houle; Christophe Pélabon,2015-10-27,Proceedings of the National Academy of Sciences of the United States of America,"Precise exponential scaling with size is a fundamental aspect of phenotypic variation. These allometric power laws are often invariant across taxa and have long been hypothesized to reflect developmental constraints. Here we test this hypothesis by investigating the evolutionary potential of an allometric scaling relationship in drosophilid wing shape that is nearly invariant across 111 species separated by at least 50 million years of evolution. In only 26 generations of artificial selection in a population of Drosophila melanogaster, we were able to drive the allometric slope to the outer range of those found among the 111 sampled species. This response was rapidly lost when selection was suspended. Only a small proportion of this reversal could be explained by breakup of linkage disequilibrium, and direct selection on wing shape is also unlikely to explain the reversal, because the more divergent wing shapes produced by selection on the allometric intercept did not revert. We hypothesize that the reversal was instead caused by internal selection arising from pleiotropic links to unknown traits. Our results also suggest that the observed selection response in the allometric slope was due to a component expressed late in larval development and that variation in earlier development did not respond to selection. Together, these results are consistent with a role for pleiotropic constraints in explaining the remarkable evolutionary stability of allometric scaling.",26371319,https://pubmed.ncbi.nlm.nih.gov/26371319/,PMC4629349,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4629349/,,d68a39aac052e30361e38b19aa1adc7e0ab9ab0e
10.1038/nature14181,Evolution of Darwin's finches and their beaks revealed by genome sequencing.,Sangeet Lamichhaney; Jonas Berglund; Markus Sällman Almén; Khurram Maqbool; Manfred Grabherr; Alvaro Martinez-Barrio; Marta Promerová; Carl-Johan Rubin; Chao Wang; Neda Zamani; B Rosemary Grant; Peter R Grant; Matthew T Webster; Leif Andersson,2015-02-19,Nature,"Darwin's finches, inhabiting the Galápagos archipelago and Cocos Island, constitute an iconic model for studies of speciation and adaptive evolution. Here we report the results of whole-genome re-sequencing of 120 individuals representing all of the Darwin's finch species and two close relatives. Phylogenetic analysis reveals important discrepancies with the phenotype-based taxonomy. We find extensive evidence for interspecific gene flow throughout the radiation. Hybridization has given rise to species of mixed ancestry. A 240 kilobase haplotype encompassing the ALX1 gene that encodes a transcription factor affecting craniofacial development is strongly associated with beak shape diversity across Darwin's finch species as well as within the medium ground finch (Geospiza fortis), a species that has undergone rapid evolution of beak shape in response to environmental changes. The ALX1 haplotype has contributed to diversification of beak shapes among the Darwin's finches and, thereby, to an expanded utilization of food resources.",25686609,https://pubmed.ncbi.nlm.nih.gov/25686609/,,,,8bc940e0734ff21da9ddee5fc9ae590744d5bade
10.3732/ajb.1400201,The role of homoploid hybridization in evolution: a century of studies synthesizing genetics and ecology.,Sarah B Yakimowski; Loren H Rieseberg,2014-08-01,American journal of botany,"While homoploid hybridization was viewed as maladaptive by zoologists, the possibility that it might play a creative role in evolution was explored and debated by botanists during the evolutionary synthesis. Owing to his synthetic work on the ecological and genetic factors influencing the occurrence and effects of hybridization, G. Ledyard Stebbins' contributions to this debate were particularly influential. We revisit Stebbins' views on the frequency of hybridization, the evolution of hybrid sterility, and the evolutionary importance of transgressive segregation, introgression, and homoploid hybrid speciation in the context of contemporary evidence. Floristic surveys indicate that ∼10% of plant species hybridize, suggesting that natural hybridization is not as ubiquitous as Stebbins argued. There is stronger support for his contention that chromosomal sterility is of greater importance in plants than in animals and that selection drives the evolution of hybrid sterility. Stebbins' assertions concerning the frequent occurrence of transgressive segregation and introgressive hybridization have been confirmed by contemporary work, but few studies directly link these phenomena to adaptive evolution or speciation. Stebbins proposed a mechanism by which chromosomal rearrangements partially isolate hybrid lineages and parental species, which spurred the development of the recombinational model of homoploid speciation. While this model has been confirmed empirically, the establishment of reproductively independent hybrid lineages is typically associated with the development of both intrinsic and extrinsic reproductive barriers. We conclude by reflecting on outcomes of hybridization not considered by Stebbins and on possible future research that may extend our understanding of the evolutionary role of hybridization beyond Stebbins' legacy.",25156978,https://pubmed.ncbi.nlm.nih.gov/25156978/,,,,574d105d675adf245f18cf13706b7f22e199c363
10.1111/evo.12399,How common is homoploid hybrid speciation?,Molly Schumer; Gil G Rosenthal; Peter Andolfatto,2014-06-01,Evolution; international journal of organic evolution,"Hybridization has long been considered a process that prevents divergence between species. In contrast to this historical view, an increasing number of empirical studies claim to show evidence for hybrid speciation without a ploidy change. However, the importance of hybridization as a route to speciation is poorly understood, and many claims have been made with insufficient evidence that hybridization played a role in the speciation process. We propose criteria to determine the strength of evidence for homoploid hybrid speciation. Based on an evaluation of the literature using this framework, we conclude that although hybridization appears to be common, evidence for an important role of hybridization in homoploid speciation is more circumscribed.",24620775,https://pubmed.ncbi.nlm.nih.gov/24620775/,,,,49e84f8845192e7c2cae2a65ac1a1c0a898f6a0a
10.2307/j.ctt5hhncc,40 Years of Evolution: Darwin's Finches on Daphne Major Island,,,,,,,,,,504b1d0d652e05588e9d282049a282a95a54dfa7
10.1111/j.1365-294X.2011.05183.x,"Hybrid speciation in sparrows I: phenotypic intermediacy, genetic admixture and barriers to gene flow.",Jo S Hermansen; Stein A Saether; Tore O Elgvin; Thomas Borge; Elin Hjelle; Glenn-Peter Saetre,2011-09-01,Molecular ecology,"Homoploid hybrid speciation is thought to require unusual circumstances to yield reproductive isolation from the parental species, and few examples are known from nature. Here, we present genetic evidence for this mode of speciation in birds. Using Bayesian assignment analyses of 751 individuals genotyped for 14 unlinked, nuclear microsatellite loci, we show that the phenotypically intermediate Italian sparrow (Passer italiae) does not form a cluster of its own, but instead exhibits clear admixture (over its entire breeding range) between its putative parental species, the house sparrow (P. domesticus) and the Spanish sparrow (P. hispaniolensis). Further, the Italian sparrow possesses mitochondrial (mt) DNA haplotypes identical to both putative parental species (although mostly of house sparrow type), indicating a recent hybrid origin. Today, the Italian sparrow has a largely allopatric distribution on the Italian peninsula and some Mediterranean islands separated from its suggested parental species by the Alps and the Mediterranean Sea, but co-occurs with the Spanish sparrow on the Gargano peninsula in southeast Italy. No evidence of interbreeding was found in this sympatric population. However, the Italian sparrow hybridizes with the house sparrow in a sparsely populated contact zone in the Alps. Yet, the contact zone is characterized by steep clines in species-specific male plumage traits, suggesting that partial reproductive isolation may also have developed between these two taxa. Thus, geographic and reproductive barriers restrict gene flow into the nascent hybrid species. We propose that an origin of hybrid species where the hybrid lineage gets geographically isolated from its parental species, as seems to have happened in this system, might be more common in nature than previously assumed.",21771138,https://pubmed.ncbi.nlm.nih.gov/21771138/,,,,cc6df00cbc42e076d27d08a6ee384a29a905e438
