doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1126/science.adj4478,Ecological speciation in Darwin's finches: Ghosts of finches future.,Jeffrey Podos; Katie M Schroeder,2024-10-11,Science,"The theory of ecological speciation posits that adaptive divergence among incipient species raises incidental barriers to reproduction, thus catalyzing the emergence of new species. In this study, we conducted an experimental test of this theory in Galápagos finches, a clade in which beaks and mating songs are mechanistically linked. We forecasted the acoustic structure of songs for a set of possible evolutionary futures (successive droughts spurring increasingly large beaks) and, in a field assay, presented resulting song simulations to territorial males. We found that responses to songs dropped off after six simulated drought events, to degrees roughly comparable to drops in response to songs that diverged through cultural drift and acoustic adaptation. Our results support, in Darwin's finches, the feasibility and mechanistic bases of an ecological speciation hypothesis.",39388551,https://pubmed.ncbi.nlm.nih.gov/39388551/,,,,
10.1126/sciadv.adk9315,Adaptive introgression reveals the genetic basis of a sexually selected syndrome in wall lizards.,Nathalie Feiner; Weizhao Yang; Ignas Bunikis; Geoffrey M While; Tobias Uller,2024-04-05,Science advances,"The joint expression of particular colors, morphologies, and behaviors is a common feature of adaptation, but the genetic basis for such ""phenotypic syndromes"" remains poorly understood. Here, we identified a complex genetic architecture associated with a sexually selected syndrome in common wall lizards, by capitalizing on the adaptive introgression of coloration and morphology into a distantly related lineage. Consistent with the hypothesis that the evolution of phenotypic syndromes in vertebrates is facilitated by developmental linkage through neural crest cells, most of the genes associated with the syndrome are involved in neural crest cell regulation. A major locus was a ~400-kb region, characterized by standing structural genetic variation and previously implied in the evolutionary innovation of coloration and beak size in birds. We conclude that features of the developmental and genetic architecture contribute to maintaining trait integration, facilitating the extensive and rapid introgressive spread of suites of sexually selected characters.",38569035,https://pubmed.ncbi.nlm.nih.gov/38569035/,PMC10990284,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10990284/,,
10.1111/nph.19361,The genomes of Darwin's primroses reveal chromosome-scale adaptive introgression and differential permeability of species boundaries.,Rebecca L Stubbs; Spyros Theodoridis; Emiliano Mora-Carrera; Barbara Keller; Giacomo Potente; Narjes Yousefi; Paul Jay; Étienne Léveillé-Bourret; Rimjhim Roy Choudhury; Ferhat Celep; Judita Kochjarová; Elena Conti,2024-01-01,The New phytologist,"Introgression is an important source of genetic variation that can determine species adaptation to environmental conditions. Yet, definitive evidence of the genomic and adaptive implications of introgression in nature remains scarce. The widespread hybrid zones of Darwin's primroses (Primula elatior, Primula veris, and Primula vulgaris) provide a unique natural laboratory for studying introgression in flowering plants and the varying permeability of species boundaries. Through analysis of 650 genomes, we provide evidence of an introgressed genomic region likely to confer adaptive advantage in conditions of soil toxicity. We also document unequivocal evidence of chloroplast introgression, an important precursor to species-wide chloroplast capture. Finally, we provide the first evidence that the S-locus supergene, which controls heterostyly in primroses, does not introgress in this clade. Our results contribute novel insights into the adaptive role of introgression and demonstrate the importance of extensive genomic and geographical sampling for illuminating the complex nature of species boundaries.",37921572,https://pubmed.ncbi.nlm.nih.gov/37921572/,,,,
10.1126/science.adf6218,Community-wide genome sequencing reveals 30 years of Darwin's finch evolution.,Erik D Enbody; Ashley T Sendell-Price; C Grace Sprehn; Carl-Johan Rubin; Peter M Visscher; B Rosemary Grant; Peter R Grant; Leif Andersson,2023-09-29,Science,"A fundamental goal in evolutionary biology is to understand the genetic architecture of adaptive traits. Using whole-genome data of 3955 of Darwin's finches on the Galápagos Island of Daphne Major, we identified six loci of large effect that explain 45% of the variation in the highly heritable beak size of Geospiza fortis, a key ecological trait. The major locus is a supergene comprising four genes. Abrupt changes in allele frequencies at the loci accompanied a strong change in beak size caused by natural selection during a drought. A gradual change in Geospiza scandens occurred across 30 years as a result of introgressive hybridization with G. fortis. This study shows how a few loci with large effect on a fitness-related trait contribute to the genetic potential for rapid adaptive radiation.",37769091,https://pubmed.ncbi.nlm.nih.gov/37769091/,,,,
10.1098/rspb.2023.0420,Beak morphometry and morphogenesis across avian radiations.,Salem Mosleh; Gary P T Choi; Grace M Musser; Helen F James; Arhat Abzhanov; L Mahadevan,2023-09-27,Proceedings. Biological sciences,"Adaptive avian radiations associated with the diversification of bird beaks into a multitude of forms enabling different functions are exemplified by Darwin's finches and Hawaiian honeycreepers. To elucidate the nature of these radiations, we quantified beak shape and skull shape using a variety of geometric measures that allowed us to collapse the variability of beak shape into a minimal set of geometric parameters. Furthermore, we find that just two measures of beak shape-the ratio of the width to length and the normalized sharpening rate (increase in the transverse beak curvature near the tip relative to that at the base of the beak)-are strongly correlated with diet. Finally, by considering how transverse sections to the beak centreline evolve with distance from the tip, we show that a simple geometry-driven growth law termed 'modified mean curvature flow' captures the beak shapes of Darwin's finches and Hawaiian honeycreepers. A surprising consequence of the simple growth law is that beak shapes that are not allowed based on the developmental programme of the beak are also not observed in nature, suggesting a link between evolutionary morphology and development in terms of growth-driven developmental constraints.",37752837,https://pubmed.ncbi.nlm.nih.gov/37752837/,PMC10523063,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10523063/,,
10.1093/evolut/qpad160,The fitness landscape of a community of Darwin's finches.,Marc-Olivier Beausoleil; Paola Lorena Carrión; Jeffrey Podos; Carlos Camacho; Julio Rabadán-González; Roxanne Richard; Kristen Lalla; Joost A M Raeymaekers; Sarah A Knutie; Luis F De León; Jaime A Chaves; Dale H Clayton; Jennifer A H Koop; Diana M T Sharpe; Kiyoko M Gotanda; Sarah K Huber; Rowan D H Barrett; Andrew P Hendry,2023-12-02,Evolution; international journal of organic evolution,"Divergent natural selection should lead to adaptive radiation-that is, the rapid evolution of phenotypic and ecological diversity originating from a single clade. The drivers of adaptive radiation have often been conceptualized through the concept of ""adaptive landscapes,"" yet formal empirical estimates of adaptive landscapes for natural adaptive radiations have proven elusive. Here, we use a 17-year dataset of Darwin's ground finches (Geospiza spp.) at an intensively studied site on Santa Cruz (Galápagos) to estimate individual apparent lifespan in relation to beak traits. We use these estimates to model a multi-species fitness landscape, which we also convert to a formal adaptive landscape. We then assess the correspondence between estimated fitness peaks and observed phenotypes for each of five phenotypic modes (G. fuliginosa, G. fortis [small and large morphotypes], G. magnirostris, and G. scandens). The fitness and adaptive landscapes show 5 and 4 peaks, respectively, and, as expected, the adaptive landscape was smoother than the fitness landscape. Each of the five phenotypic modes appeared reasonably close to the corresponding fitness peak, yet interesting deviations were also documented and examined. By estimating adaptive landscapes in an ongoing adaptive radiation, our study demonstrates their utility as a quantitative tool for exploring and predicting adaptive radiation.",37671423,https://pubmed.ncbi.nlm.nih.gov/37671423/,,,,
10.1038/s41467-022-33723-w,Spatiotemporal variations in retrovirus-host interactions among Darwin's finches.,Jason Hill; Mette Lillie; Mats E Pettersson; Carl-Johan Rubin; B Rosemary Grant; Peter R Grant; Leif Andersson; Patric Jern,2022-10-13,Nature communications,"Endogenous retroviruses (ERVs) are inherited remnants of retroviruses that colonized host germline over millions of years, providing a sampling of retroviral diversity across time. Here, we utilize the strength of Darwin's finches, a system synonymous with evolutionary studies, for investigating ERV history, revealing recent retrovirus-host interactions in natural populations. By mapping ERV variation across all species of Darwin's finches and comparing with outgroup species, we highlight geographical and historical patterns of retrovirus-host occurrence, utilizing the system for evaluating the extent and timing of retroviral activity in hosts undergoing adaptive radiation and colonization of new environments. We find shared ERVs among all samples indicating retrovirus-host associations pre-dating host speciation, as well as considerable ERV variation across populations of the entire Darwin's finches' radiation. Unexpected ERV variation in finch species on different islands suggests historical changes in gene flow and selection. Non-random distribution of ERVs along and between chromosomes, and across finch species, suggests association between ERV accumulation and the rapid speciation of Darwin's finches.",36229469,https://pubmed.ncbi.nlm.nih.gov/36229469/,PMC9562234,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9562234/,,
10.1002/ece3.9399,The terroir of the finch: How spatial and temporal variation shapes phenotypic traits in DARWIN'S finches.,Paola L Carrión; Joost A M Raeymaekers; Luis Fernando De León; Jaime A Chaves; Diana M T Sharpe; Sarah K Huber; Anthony Herrel; Bieke Vanhooydonck; Kiyoko M Gotanda; Jennifer A H Koop; Sarah A Knutie; Dale H Clayton; Jeffrey Podos; Andrew P Hendry,2022-10-01,Ecology and evolution,"The term terroir is used in viticulture to emphasize how the biotic and abiotic characteristics of a local site influence grape physiology and thus the properties of wine. In ecology and evolution, such terroir (i.e., the effect of space or ""site"") is expected to play an important role in shaping phenotypic traits. Just how important is the pure spatial effect of terroir (e.g., differences between sites that persist across years) in comparison to temporal variation (e.g., differences between years that persist across sites), and the interaction between space and time (e.g., differences between sites change across years)? We answer this question by analyzing beak and body traits of 4388 medium ground finches (Geospiza fortis) collected across 10 years at three locations in Galápagos. Analyses of variance indicated that phenotypic variation was mostly explained by site for beak size (η 2 = 0.42) and body size (η 2 = 0.43), with a smaller contribution for beak shape (η 2 = 0.05) and body shape (η 2 = 0.12), but still higher compared to year and site-by-year effects. As such, the effect of terroir seems to be very strong in Darwin's finches, notwithstanding the oft-emphasized interannual variation. However, these results changed dramatically when we excluded data from Daphne Major, indicating that the strong effect of terroir was mostly driven by that particular population. These phenotypic results were largely paralleled in analyses of environmental variables (rainfall and vegetation indices) expected to shape terroir in this system. These findings affirm the evolutionary importance of terroir, while also revealing its dependence on other factors, such as geographical isolation.",36225827,https://pubmed.ncbi.nlm.nih.gov/36225827/,PMC9534727,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9534727/,,
10.1016/j.ijbiomac.2022.07.203,Intrinsically disordered BMP4 morphogen and the beak of the finch: Co-option of an ancient axial patterning system.,Prakash Kulkarni; Atish Mohanty; Ravi Salgia; Vladimir N Uversky,2022-10-31,International journal of biological macromolecules,"Darwin's finches, with the primary diversity in the shape and size of their beaks, represent an excellent model system to study speciation and adaptive evolution. It is generally held that evolution depends on the natural selection of heritable phenotypic variations originating from the genetic mutations. However, it is now increasingly evident that epigenetic transgenerational inheritance of phenotypic variation can also guide evolutionary change. Several studies have shown that the bone morphogenetic protein BMP4 is a major driver of beak morphology. A recent study explored variability of the morphological, genetic, and epigenetic differences in the adjacent ""urban"" and ""rural"" populations of two species of Darwin's finches on the Galápagos Islands and revealed significant changes in methylation patterns in several genes including those involved in the BMP/TGFß pathway in the sperm DNA compared to erythrocyte DNA. These observations indicated that epigenetic changes caused by environmental fluctuations can be passed on to the offspring. Nonetheless, the mechanism by which dysregulated expression of BMP4 impacts beak morphology remains poorly understood. Here, we show that BMP4 is an intrinsically disordered protein and present a causal a link between epigenetic changes, BMP4 dysregulation and the evolution of the beak of the finch by natural selection.",35931296,https://pubmed.ncbi.nlm.nih.gov/35931296/,,,,
10.1126/sciadv.abm5982,Rapid adaptive radiation of Darwin's finches depends on ancestral genetic modules.,Carl-Johan Rubin; Erik D Enbody; Mariya P Dobreva; Arhat Abzhanov; Brian W Davis; Sangeet Lamichhaney; Mats Pettersson; Ashley T Sendell-Price; C Grace Sprehn; Carlos A Valle; Karla Vasco; Ola Wallerman; B Rosemary Grant; Peter R Grant; Leif Andersson,2022-07-08,Science advances,"Recent adaptive radiations are models for investigating mechanisms contributing to the evolution of biodiversity. An unresolved question is the relative importance of new mutations, ancestral variants, and introgressive hybridization for phenotypic evolution and speciation. Here, we address this issue using Darwin's finches and investigate the genomic architecture underlying their phenotypic diversity. Admixture mapping for beak and body size in the small, medium, and large ground finches revealed 28 loci showing strong genetic differentiation. These loci represent ancestral haplotype blocks with origins predating speciation events during the Darwin's finch radiation. Genes expressed in the developing beak are overrepresented in these genomic regions. Ancestral haplotypes constitute genetic modules for selection and act as key determinants of the unusual phenotypic diversity of Darwin's finches. Such ancestral haplotype blocks can be critical for how species adapt to environmental variability and change.",35857449,https://pubmed.ncbi.nlm.nih.gov/35857449/,PMC9269886,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9269886/,,
