doi,title,authors_str,pub_date,journal,abstract,pmid,pmid_link,pmcid,pmcid_link,citation_count,s2_paper_id
10.1111/gcb.70072,Geographic and Biological Drivers Shape Anthropogenic Extinctions in the Macaronesian Vascular Flora.,Raúl Orihuela-Rivero; Javier Morente-López; J Alfredo Reyes-Betancort; Hanno Schaefer; Alfredo Valido; Miguel Menezes de Sequeira; María M Romeiras; Carlos A Góis-Marques; Marcos Salas-Pascual; Alain Vanderpoorten; José María Fernández-Palacios; Jairo Patiño,2025-02-01,Global change biology,"Whether species extinctions have accelerated during the Anthropocene and the extent to which certain species are more susceptible to extinction due to their ecological preferences and intrinsic biological traits are among the most pressing questions in conservation biology. Assessing extinction rates is, however, challenging, as best exemplified by the phenomenon of 'dark extinctions': the loss of species that disappear before they are even formally described. These issues are particularly problematic in oceanic islands, where species exhibit high rates of endemism and unique biological traits but are also among the most vulnerable to extinction. Here, we document plant species extinctions since Linnaeus' Species Plantarum in Macaronesia, a biogeographic region comprised of five hyperdiverse oceanic archipelagos, and identify the key drivers behind these extinctions. We compiled 168 records covering 126 taxa, identifying 13 global and 155 local extinction events. Significantly higher extinction rates were observed compared to the expected global background rate. We uncovered differentiated extinction patterns along altitudinal gradients, highlighting a recent coastal hotspot linked to socioeconomic changes in Macaronesian archipelagos from the 1960s onwards. Key factors influencing extinction patterns include island age, elevation, introduced herbivorous mammals, and human population size. Trait-based analyses across the floras of the Azores and Canary Islands revealed that endemicity, pollination by vertebrates, nitrogen-fixing capacity, woodiness, and zoochory consistently tended to increase extinction risk. Our findings emphasize the critical role of geography and biological traits, alongside anthropogenic impacts, in shaping extinction dynamics on oceanic islands. Enhancing our knowledge of life-history traits within island floras is crucial for accurately predicting and mitigating future extinction risks, underscoring the urgent need for comprehensive biodiversity assessments in island ecosystems.",39962933,https://pubmed.ncbi.nlm.nih.gov/39962933/,,,,
10.1016/j.tree.2025.01.002,Questioning the sixth mass extinction.,John J Wiens; Kristen E Saban,2025-04-01,Trends in ecology & evolution,"The idea that Earth is currently experiencing a sixth mass extinction is widespread. We critically evaluate this claim. Very few studies have tested this idea. Some studies showed that recent extinction rates are faster than fossil background rates, but extinction rates can exceed background rates outside mass extinctions. Other studies extrapolated from recent extinctions to project 75% global species loss. But these recent extinctions were mostly of island species. No cause was specified for these future extinctions, and >50% of assessed species are considered non-threatened. We find numerous other issues. Proponents of the sixth mass extinction have made invaluable contributions by highlighting recent extinctions, but these extinctions may not be equivalent to past mass extinctions or relevant to current threats.",39955198,https://pubmed.ncbi.nlm.nih.gov/39955198/,,,,
10.1073/pnas.2414985122,The estimated cost of preventing extinction and progressing recovery for Australia's priority threatened species.,Michelle Ward; Hugh P Possingham; Brendan A Wintle; John C Z Woinarski; Jessica R Marsh; David G Chapple; Mark Lintermans; Ben C Scheele; Nick S Whiterod; Conrad J Hoskin; Bora Aska; Chuanji Yong; Ayesha Tulloch; Romola Stewart; James E M Watson,2025-02-11,Proceedings of the National Academy of Sciences of the United States of America,"The global extinction crisis is intensifying rapidly, driven by habitat loss, overexploitation, climate change, invasive species, and disease. This unprecedented loss of species not only threatens ecological integrity but also undermines ecosystem services vital for human survival. In response, many countries have set ambitious conservation targets such as halting species extinctions, yet the necessary financial commitments to achieve this are rarely prescribed. Estimating costs can be achieved using an ensemble of spatially variable species-specific cost models for threat abatement activities. We employ this method to provide a cost assessment to halt extinctions for Australia's priority terrestrial and freshwater species. We show that it will cost ~AUD15.6 billion/year for 30 y to halt extinctions for these 99 priority species (comparable to 1% of Australia's GDP). The more ambitious objectives to move priority species down one threat category (~AUD103.7 billion/year) or remove from the threatened species list entirely (~AUD157.7 billion/year) would require considerably more investment. Regardless of what is spent, we found that 16 (16%) priority species could not be removed from the threatened species list due to extensive historical declines and pervasive, ongoing, unmanageable threats, such as climate change. But implementing these efforts could ensure conservation benefits for over 43% of all nationally listed nonmarine threatened species. Adequate funding is crucial for meeting government commitments and requires both government leadership and private sector investment.",39899717,https://pubmed.ncbi.nlm.nih.gov/39899717/,PMC11831134,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11831134/,,
10.1016/j.tree.2024.11.007,The ecology of plant extinctions.,Richard T Corlett,2025-03-01,Trends in ecology & evolution,"Extinctions occur when enough individual plants die without replacement to extirpate a population, and all populations are extirpated. While the ultimate drivers of plant extinctions are known, the proximate mechanisms at individual and population level are not. The fossil record supports climate change as the major driver until recently, with land-use change dominating in recent millennia. Climate change may regain its leading role later this century. Documented recent extinctions have been few and concentrated among narrow-range species, but population extirpations are frequent. Predictions for future extinctions often use flawed methods, but more than half of all plants could be threatened by the end of this century. We need targeted interventions tailored to the needs of each threatened species.",39648048,https://pubmed.ncbi.nlm.nih.gov/39648048/,,,,
10.1126/science.adp4461,Climate change extinctions.,Mark C Urban,2024-12-06,Science,"Climate change is expected to cause irreversible changes to biodiversity, but predicting those risks remains uncertain. I synthesized 485 studies and more than 5 million projections to produce a quantitative global assessment of climate change extinctions. With increased certainty, this meta-analysis suggests that extinctions will accelerate rapidly if global temperatures exceed 1.5°C. The highest-emission scenario would threaten approximately one-third of species, globally. Amphibians; species from mountain, island, and freshwater ecosystems; and species inhabiting South America, Australia, and New Zealand face the greatest threats. In line with predictions, climate change has contributed to an increasing proportion of observed global extinctions since 1970. Besides limiting greenhouse gases, pinpointing which species to protect first will be critical for preserving biodiversity until anthropogenic climate change is halted and reversed.",39636977,https://pubmed.ncbi.nlm.nih.gov/39636977/,,,,
10.1371/journal.pone.0309354,Half of Atlantic reef-building corals at elevated risk of extinction due to climate change and other threats.,Luis Gutierrez; Beth Polidoro; David Obura; Francoise Cabada-Blanco; Christi Linardich; Emma Pettersson; Paul Pearce-Kelly; Krista Kemppinen; Juan Jose Alvarado; Lorenzo Alvarez-Filip; Anastazia Banaszak; Pilar Casado de Amezua; James Crabbe; Aldo Croquer; Joshua Feingold; Elizabeth Goergen; Stefano Goffredo; Bert Hoeksema; Danwei Huang; Emma Kennedy; Diego Kersting; Marcelo Kitahara; Petar Kružić; Margaret Miller; Flavia Nunes; Juan Pablo Quimbayo; Andrea Rivera-Sosa; Rosa Rodríguez-Martínez; Nadia Santodomingo; Michael Sweet; Mark Vermeij; Estrella Villamizar; Greta Aeby; Khatija Alliji; Daniel Bayley; Elena Couce; Benjamin Cowburn; C Isabel Nuñez Lendo; Sean Porter; Kaveh Samimi-Namin; Tom Shlesinger; Bryan Wilson,2024-01-01,PloS one,"Atlantic reef-building corals and coral reefs continue to experience extensive decline due to increased stressors related to climate change, disease, pollution, and numerous anthropogenic threats. To understand the impact of ocean warming and reef loss on the estimated extinction risk of shallow water Atlantic reef-building scleractinians and milleporids, all 85 valid species were reassessed under the IUCN Red List Categories and Criteria, updating the previous Red List assessment of Atlantic corals published in 2008. For the present assessment, individual species declines were estimated based on the modeled coral cover loss (1989-2019) and projected onset of annual severe bleaching events (2020-2050) across the Atlantic. Species traits were used to scale species' relative vulnerability to the modeled cover declines and forecasted bleaching events. The updated assessments place 45.88%-54.12% of Atlantic shallow water corals at an elevated extinction risk compared to the previous assessments conducted in 2008 (15.19%-40.51%). However, coral cover loss estimates indicate an improvement in reef coverage compared to the historic time-series used for the 2008 assessments. Based on this, we infer that, although remaining dangerously high, the rate of Atlantic reef coral cover decline has surprisingly slowed in recent decades. However, based on modeled projections of sea-surface temperature that predict the onset of annual severe bleaching events within the next 30 years, we listed 26 (out of 85) species as Critically Endangered in the IUCN Red List. Each of these species had previously been listed under a lower threatened category and this result alone highlights the severe threat future bleaching events pose to coral survival and the reef ecosystems they support.",39546544,https://pubmed.ncbi.nlm.nih.gov/39546544/,PMC11567617,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11567617/,,
10.1146/annurev-animal-111523-102004,No More Extinctions: Recovering Australia's Biodiversity.,John C Z Woinarski; Stephen T Garnett; Sarah M Legge,2025-02-01,Annual review of animal biosciences,"Most conservation programs and laws aim to prevent extinction. However, there is a gulf between such aspirations and the current reality of escalating biodiversity loss. This review focuses on efforts to prevent extinctions in Australia, but much of this consideration is likely to apply globally. As context, we consider the reasons for trying to prevent extinction, review Australia's extinction record, and note that there are likely to be many more extinctions than formally recognized. We describe recent cases where conservation actions have prevented extinction. We note that extinction is a pathway rather than solely an endpoint, and many decisions made or not made on that pathway can determine the fate of species. We conclude that all looming extinctions can and should be prevented. This will require transformational change in legislation, increased resourcing, more consideration of poorly known species, and increased societal recognition of the need to be responsible for the care of country.",39353087,https://pubmed.ncbi.nlm.nih.gov/39353087/,,,,
10.7717/peerj.17947,Small population size and possible extirpation of the threatened Malagasy poison frog Mantella cowanii.,Devin Edmonds; Raphali Rodlis Andriantsimanarilafy; Angelica Crottini; Michael J Dreslik; Jade Newton-Youens; Andoniana Ramahefason; Christian Joseph Randrianantoandro; Franco Andreone,2024-01-01,PeerJ,"Amphibians are experiencing severe population declines, requiring targeted conservation action for the most threatened species and habitats. Unfortunately, we do not know the basic demographic traits of most species, which hinders population recovery efforts. We studied one of Madagascar's most threatened frog species, the harlequin mantella (Mantella cowanii), to confirm it is still present at historic localities and estimate annual survival and population sizes. We surveyed eleven of all thirteen known localities and were able to detect the species at eight. Using a naïve estimate of detection probability from sites with confirmed presence, we estimated 1.54 surveys (95% CI [1.10-2.37]) are needed to infer absence with 95% confidence, suggesting the three populations where we did not detect M. cowanii are now extirpated. However, we also report two new populations for the first time. Repeated annual surveys at three sites showed population sizes ranged from 13-137 adults over 3-8 years, with the most intensively surveyed site experiencing a >80% reduction in population size during 2015-2023. Annual adult survival was moderately high (0.529-0.618) and we recaptured five individuals in 2022 and one in 2023 first captured as adults in 2015, revealing the maximum lifespan of the species in nature can reach 9 years and beyond. Our results confirm M. cowanii is characterized by a slower life history pace than other Mantella species, putting it at greater extinction risk. Illegal collection for the international pet trade and continued habitat degradation are the main threats to the species. We recommend conservation efforts continue monitoring M. cowanii populations and reassess the International Union for Conservation of Nature (IUCN) Red List status because the species may be Critically Endangered rather than Endangered based on population size and trends.",39301061,https://pubmed.ncbi.nlm.nih.gov/39301061/,PMC11412227,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11412227/,,
10.1371/journal.pone.0306813,Overfishing and climate change elevate extinction risk of endemic sharks and rays in the southwest Indian Ocean hotspot.,Riley A Pollom; Jessica Cheok; Nathan Pacoureau; Katie S Gledhill; Peter M Kyne; David A Ebert; Rima W Jabado; Katelyn B Herman; Rhett H Bennett; Charlene da Silva; Stela Fernando; Baraka Kuguru; Robin W Leslie; Meaghen E McCord; Melita Samoilys; Henning Winker; Sean T Fennessy; Caroline M Pollock; Cassandra L Rigby; Nicholas K Dulvy,2024-01-01,PloS one,"Here, we summarise the extinction risk of the sharks and rays endemic to coastal, shelf, and slope waters of the southwest Indian Ocean and adjacent waters (SWIO+, Namibia to Kenya, including SWIO islands). This region is a hotspot of endemic and evolutionarily distinct sharks and rays. Nearly one-fifth (n = 13 of 70, 18.6%) of endemic sharks and rays are threatened, of these: one is Critically Endangered, five are Endangered, and seven are Vulnerable. A further seven (10.0%) are Near Threatened, 33 (47.1%) are Least Concern, and 17 (24.3%) are Data Deficient. While the primary threat is overfishing, there are the first signs that climate change is contributing to elevated extinction risk through habitat reduction and inshore distributional shifts. By backcasting their status, few endemic species were threatened in 1980, but this changed soon after the emergence of targeted shark and ray fisheries. South Africa has the highest national conservation responsibility, followed by Mozambique and Madagascar. Yet, while fisheries management and enforcement have improved in South Africa over recent decades, substantial improvements are urgently needed elsewhere. To avoid extinction and ensure robust populations of the region's endemic sharks and rays and maintain ecosystem functionality, there is an urgent need for the strict protection of Critically Endangered and Endangered species and sustainable management of Vulnerable, Near Threatened, and Least Concern species, underpinned by species-level data collection and reduction of incidental catch.",39236015,https://pubmed.ncbi.nlm.nih.gov/39236015/,PMC11648177,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11648177/,,
10.1111/cobi.14316,Using comparative extinction risk analysis to prioritize the IUCN Red List reassessments of amphibians.,Pablo Miguel Lucas; Moreno Di Marco; Victor Cazalis; Jennifer Luedtke; Kelsey Neam; Mary H Brown; Penny F Langhammer; Giordano Mancini; Luca Santini,2024-12-01,Conservation biology : the journal of the Society for Conservation Biology,"Assessing the extinction risk of species based on the International Union for Conservation of Nature (IUCN) Red List (RL) is key to guiding conservation policies and reducing biodiversity loss. This process is resource demanding, however, and requires continuous updating, which becomes increasingly difficult as new species are added to the RL. Automatic methods, such as comparative analyses used to predict species RL category, can be an efficient alternative to keep assessments up to date. Using amphibians as a study group, we predicted which species are more likely to change their RL category and thus should be prioritized for reassessment. We used species biological traits, environmental variables, and proxies of climate and land-use change as predictors of RL category. We produced an ensemble prediction of IUCN RL category for each species by combining 4 different model algorithms: cumulative link models, phylogenetic generalized least squares, random forests, and neural networks. By comparing RL categories with the ensemble prediction and accounting for uncertainty among model algorithms, we identified species that should be prioritized for future reassessment based on the mismatch between predicted and observed values. The most important predicting variables across models were species' range size and spatial configuration of the range, biological traits, climate change, and land-use change. We compared our proposed prioritization index and the predicted RL changes with independent IUCN RL reassessments and found high performance of both the prioritization and the predicted directionality of changes in RL categories. Ensemble modeling of RL category is a promising tool for prioritizing species for reassessment while accounting for models' uncertainty. This approach is broadly applicable to all taxa on the IUCN RL and to regional and national assessments and may improve allocation of the limited human and economic resources available to maintain an up-to-date IUCN RL.",38946355,https://pubmed.ncbi.nlm.nih.gov/38946355/,PMC11589027,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11589027/,,
